Date,Name,NAV
02/27/2020,Baillie Gifford Global Discovery B Acc,16.76,
02/28/2020,Baillie Gifford Global Discovery B Acc,15.86,
02/29/2020,Baillie Gifford Global Discovery B Acc,15.86,
03/01/2020,Baillie Gifford Global Discovery B Acc,15.86,
03/02/2020,Baillie Gifford Global Discovery B Acc,16.37,
03/03/2020,Baillie Gifford Global Discovery B Acc,16.84,
03/04/2020,Baillie Gifford Global Discovery B Acc,16.78,
03/05/2020,Baillie Gifford Global Discovery B Acc,16.57,
03/06/2020,Baillie Gifford Global Discovery B Acc,16.05,
03/07/2020,Baillie Gifford Global Discovery B Acc,16.05,
03/08/2020,Baillie Gifford Global Discovery B Acc,16.05,
03/09/2020,Baillie Gifford Global Discovery B Acc,14.87,
03/10/2020,Baillie Gifford Global Discovery B Acc,15.67,
03/11/2020,Baillie Gifford Global Discovery B Acc,15.23,
03/12/2020,Baillie Gifford Global Discovery B Acc,14.13,
03/13/2020,Baillie Gifford Global Discovery B Acc,14.17,
03/14/2020,Baillie Gifford Global Discovery B Acc,14.17,
03/15/2020,Baillie Gifford Global Discovery B Acc,14.17,
03/16/2020,Baillie Gifford Global Discovery B Acc,13.28,
03/17/2020,Baillie Gifford Global Discovery B Acc,13.4,
03/18/2020,Baillie Gifford Global Discovery B Acc,13.45,
03/19/2020,Baillie Gifford Global Discovery B Acc,13.8,
03/20/2020,Baillie Gifford Global Discovery B Acc,14.84,
03/21/2020,Baillie Gifford Global Discovery B Acc,14.84,
03/22/2020,Baillie Gifford Global Discovery B Acc,14.84,
03/23/2020,Baillie Gifford Global Discovery B Acc,13.77,
03/24/2020,Baillie Gifford Global Discovery B Acc,14.74,
03/25/2020,Baillie Gifford Global Discovery B Acc,15.08,
03/26/2020,Baillie Gifford Global Discovery B Acc,14.82,
03/27/2020,Baillie Gifford Global Discovery B Acc,15.1,
03/28/2020,Baillie Gifford Global Discovery B Acc,15.1,
03/29/2020,Baillie Gifford Global Discovery B Acc,15.1,
03/30/2020,Baillie Gifford Global Discovery B Acc,14.81,
03/31/2020,Baillie Gifford Global Discovery B Acc,15.22,
04/01/2020,Baillie Gifford Global Discovery B Acc,14.61,
04/02/2020,Baillie Gifford Global Discovery B Acc,14.48,
04/03/2020,Baillie Gifford Global Discovery B Acc,14.32,
04/04/2020,Baillie Gifford Global Discovery B Acc,14.32,
04/05/2020,Baillie Gifford Global Discovery B Acc,14.32,
04/06/2020,Baillie Gifford Global Discovery B Acc,14.73,
04/07/2020,Baillie Gifford Global Discovery B Acc,15.59,
04/08/2020,Baillie Gifford Global Discovery B Acc,15.24,
04/09/2020,Baillie Gifford Global Discovery B Acc,15.57,
04/10/2020,Baillie Gifford Global Discovery B Acc,15.57,
04/11/2020,Baillie Gifford Global Discovery B Acc,15.57,
04/12/2020,Baillie Gifford Global Discovery B Acc,15.57,
04/13/2020,Baillie Gifford Global Discovery B Acc,15.57,
04/14/2020,Baillie Gifford Global Discovery B Acc,16.08,
