Date,Name,NAV
01/24/2018,Baillie Gifford Positive Change B Acc,1.472,
01/25/2018,Baillie Gifford Positive Change B Acc,1.451,
01/26/2018,Baillie Gifford Positive Change B Acc,1.458,
01/27/2018,Baillie Gifford Positive Change B Acc,1.458,
01/28/2018,Baillie Gifford Positive Change B Acc,1.458,
01/29/2018,Baillie Gifford Positive Change B Acc,1.477,
01/30/2018,Baillie Gifford Positive Change B Acc,1.465,
01/31/2018,Baillie Gifford Positive Change B Acc,1.456,
02/01/2018,Baillie Gifford Positive Change B Acc,1.447,
02/02/2018,Baillie Gifford Positive Change B Acc,1.446,
02/03/2018,Baillie Gifford Positive Change B Acc,1.446,
02/04/2018,Baillie Gifford Positive Change B Acc,1.446,
02/05/2018,Baillie Gifford Positive Change B Acc,1.421,
02/06/2018,Baillie Gifford Positive Change B Acc,1.383,
02/07/2018,Baillie Gifford Positive Change B Acc,1.402,
02/08/2018,Baillie Gifford Positive Change B Acc,1.411,
02/09/2018,Baillie Gifford Positive Change B Acc,1.375,
02/10/2018,Baillie Gifford Positive Change B Acc,1.375,
02/11/2018,Baillie Gifford Positive Change B Acc,1.375,
02/12/2018,Baillie Gifford Positive Change B Acc,1.406,
02/13/2018,Baillie Gifford Positive Change B Acc,1.412,
02/14/2018,Baillie Gifford Positive Change B Acc,1.422,
02/15/2018,Baillie Gifford Positive Change B Acc,1.439,
02/16/2018,Baillie Gifford Positive Change B Acc,1.461,
02/17/2018,Baillie Gifford Positive Change B Acc,1.461,
02/18/2018,Baillie Gifford Positive Change B Acc,1.461,
02/19/2018,Baillie Gifford Positive Change B Acc,1.47,
02/20/2018,Baillie Gifford Positive Change B Acc,1.459,
02/21/2018,Baillie Gifford Positive Change B Acc,1.47,
02/22/2018,Baillie Gifford Positive Change B Acc,1.471,
02/23/2018,Baillie Gifford Positive Change B Acc,1.463,
02/24/2018,Baillie Gifford Positive Change B Acc,1.463,
02/25/2018,Baillie Gifford Positive Change B Acc,1.463,
02/26/2018,Baillie Gifford Positive Change B Acc,1.47,
02/27/2018,Baillie Gifford Positive Change B Acc,1.479,
02/28/2018,Baillie Gifford Positive Change B Acc,1.471,
03/01/2018,Baillie Gifford Positive Change B Acc,1.474,
03/02/2018,Baillie Gifford Positive Change B Acc,1.45,
03/03/2018,Baillie Gifford Positive Change B Acc,1.45,
03/04/2018,Baillie Gifford Positive Change B Acc,1.45,
03/05/2018,Baillie Gifford Positive Change B Acc,1.456,
03/06/2018,Baillie Gifford Positive Change B Acc,1.478,
03/07/2018,Baillie Gifford Positive Change B Acc,1.477,
03/08/2018,Baillie Gifford Positive Change B Acc,1.498,
03/09/2018,Baillie Gifford Positive Change B Acc,1.504,
03/10/2018,Baillie Gifford Positive Change B Acc,1.504,
03/11/2018,Baillie Gifford Positive Change B Acc,1.504,
03/12/2018,Baillie Gifford Positive Change B Acc,1.523,
03/13/2018,Baillie Gifford Positive Change B Acc,1.538,
03/14/2018,Baillie Gifford Positive Change B Acc,1.528,
03/15/2018,Baillie Gifford Positive Change B Acc,1.527,
03/16/2018,Baillie Gifford Positive Change B Acc,1.524,
03/17/2018,Baillie Gifford Positive Change B Acc,1.524,
03/18/2018,Baillie Gifford Positive Change B Acc,1.524,
03/19/2018,Baillie Gifford Positive Change B Acc,1.515,
03/20/2018,Baillie Gifford Positive Change B Acc,1.501,
03/21/2018,Baillie Gifford Positive Change B Acc,1.507,
03/22/2018,Baillie Gifford Positive Change B Acc,1.501,
03/23/2018,Baillie Gifford Positive Change B Acc,1.463,
03/24/2018,Baillie Gifford Positive Change B Acc,1.463,
03/25/2018,Baillie Gifford Positive Change B Acc,1.463,
03/26/2018,Baillie Gifford Positive Change B Acc,1.458,
03/27/2018,Baillie Gifford Positive Change B Acc,1.479,
03/28/2018,Baillie Gifford Positive Change B Acc,1.442,
03/29/2018,Baillie Gifford Positive Change B Acc,1.453,
03/30/2018,Baillie Gifford Positive Change B Acc,1.453,
03/31/2018,Baillie Gifford Positive Change B Acc,1.453,
04/01/2018,Baillie Gifford Positive Change B Acc,1.453,
04/02/2018,Baillie Gifford Positive Change B Acc,1.453,
04/03/2018,Baillie Gifford Positive Change B Acc,1.432,
04/04/2018,Baillie Gifford Positive Change B Acc,1.421,
04/05/2018,Baillie Gifford Positive Change B Acc,1.452,
04/06/2018,Baillie Gifford Positive Change B Acc,1.458,
04/07/2018,Baillie Gifford Positive Change B Acc,1.458,
04/08/2018,Baillie Gifford Positive Change B Acc,1.458,
04/09/2018,Baillie Gifford Positive Change B Acc,1.442,
04/10/2018,Baillie Gifford Positive Change B Acc,1.445,
04/11/2018,Baillie Gifford Positive Change B Acc,1.446,
04/12/2018,Baillie Gifford Positive Change B Acc,1.442,
04/13/2018,Baillie Gifford Positive Change B Acc,1.434,
04/14/2018,Baillie Gifford Positive Change B Acc,1.434,
04/15/2018,Baillie Gifford Positive Change B Acc,1.434,
04/16/2018,Baillie Gifford Positive Change B Acc,1.435,
04/17/2018,Baillie Gifford Positive Change B Acc,1.43,
04/18/2018,Baillie Gifford Positive Change B Acc,1.462,
04/19/2018,Baillie Gifford Positive Change B Acc,1.468,
04/20/2018,Baillie Gifford Positive Change B Acc,1.47,
04/21/2018,Baillie Gifford Positive Change B Acc,1.47,
04/22/2018,Baillie Gifford Positive Change B Acc,1.47,
04/23/2018,Baillie Gifford Positive Change B Acc,1.465,
04/24/2018,Baillie Gifford Positive Change B Acc,1.466,
04/25/2018,Baillie Gifford Positive Change B Acc,1.437,
04/26/2018,Baillie Gifford Positive Change B Acc,1.428,
04/27/2018,Baillie Gifford Positive Change B Acc,1.457,
04/28/2018,Baillie Gifford Positive Change B Acc,1.457,
