Date,Name,NAV
01/03/2012,Liontrust Global Alpha C Acc GBP,2.6,
01/04/2012,Liontrust Global Alpha C Acc GBP,2.641,
01/05/2012,Liontrust Global Alpha C Acc GBP,2.638,
01/06/2012,Liontrust Global Alpha C Acc GBP,2.633,
01/07/2012,Liontrust Global Alpha C Acc GBP,2.633,
01/08/2012,Liontrust Global Alpha C Acc GBP,2.633,
01/09/2012,Liontrust Global Alpha C Acc GBP,2.64,
01/10/2012,Liontrust Global Alpha C Acc GBP,2.661,
01/11/2012,Liontrust Global Alpha C Acc GBP,2.703,
01/12/2012,Liontrust Global Alpha C Acc GBP,2.735,
01/13/2012,Liontrust Global Alpha C Acc GBP,2.753,
01/14/2012,Liontrust Global Alpha C Acc GBP,2.753,
01/15/2012,Liontrust Global Alpha C Acc GBP,2.753,
01/16/2012,Liontrust Global Alpha C Acc GBP,2.731,
01/17/2012,Liontrust Global Alpha C Acc GBP,2.763,
01/18/2012,Liontrust Global Alpha C Acc GBP,2.776,
01/19/2012,Liontrust Global Alpha C Acc GBP,2.769,
01/20/2012,Liontrust Global Alpha C Acc GBP,2.774,
01/21/2012,Liontrust Global Alpha C Acc GBP,2.774,
01/22/2012,Liontrust Global Alpha C Acc GBP,2.774,
01/23/2012,Liontrust Global Alpha C Acc GBP,2.758,
01/24/2012,Liontrust Global Alpha C Acc GBP,2.759,
01/25/2012,Liontrust Global Alpha C Acc GBP,2.755,
01/26/2012,Liontrust Global Alpha C Acc GBP,2.763,
01/27/2012,Liontrust Global Alpha C Acc GBP,2.766,
01/28/2012,Liontrust Global Alpha C Acc GBP,2.766,
01/29/2012,Liontrust Global Alpha C Acc GBP,2.766,
01/30/2012,Liontrust Global Alpha C Acc GBP,2.771,
01/31/2012,Liontrust Global Alpha C Acc GBP,2.764,
02/01/2012,Liontrust Global Alpha C Acc GBP,2.767,
02/02/2012,Liontrust Global Alpha C Acc GBP,2.796,
02/03/2012,Liontrust Global Alpha C Acc GBP,2.812,
02/04/2012,Liontrust Global Alpha C Acc GBP,2.812,
02/05/2012,Liontrust Global Alpha C Acc GBP,2.812,
02/06/2012,Liontrust Global Alpha C Acc GBP,2.844,
02/07/2012,Liontrust Global Alpha C Acc GBP,2.828,
02/08/2012,Liontrust Global Alpha C Acc GBP,2.816,
02/09/2012,Liontrust Global Alpha C Acc GBP,2.815,
02/10/2012,Liontrust Global Alpha C Acc GBP,2.808,
02/11/2012,Liontrust Global Alpha C Acc GBP,2.808,
02/12/2012,Liontrust Global Alpha C Acc GBP,2.808,
02/13/2012,Liontrust Global Alpha C Acc GBP,2.821,
02/14/2012,Liontrust Global Alpha C Acc GBP,2.854,
02/15/2012,Liontrust Global Alpha C Acc GBP,2.88,
02/16/2012,Liontrust Global Alpha C Acc GBP,2.876,
02/17/2012,Liontrust Global Alpha C Acc GBP,2.879,
02/18/2012,Liontrust Global Alpha C Acc GBP,2.879,
02/19/2012,Liontrust Global Alpha C Acc GBP,2.879,
02/20/2012,Liontrust Global Alpha C Acc GBP,2.875,
02/21/2012,Liontrust Global Alpha C Acc GBP,2.877,
02/22/2012,Liontrust Global Alpha C Acc GBP,2.89,
02/23/2012,Liontrust Global Alpha C Acc GBP,2.897,
02/24/2012,Liontrust Global Alpha C Acc GBP,2.908,
02/25/2012,Liontrust Global Alpha C Acc GBP,2.908,
02/26/2012,Liontrust Global Alpha C Acc GBP,2.908,
02/27/2012,Liontrust Global Alpha C Acc GBP,2.902,
02/28/2012,Liontrust Global Alpha C Acc GBP,2.914,
02/29/2012,Liontrust Global Alpha C Acc GBP,2.921,
03/01/2012,Liontrust Global Alpha C Acc GBP,2.888,
03/02/2012,Liontrust Global Alpha C Acc GBP,2.9,
03/03/2012,Liontrust Global Alpha C Acc GBP,2.9,
03/04/2012,Liontrust Global Alpha C Acc GBP,2.9,
03/05/2012,Liontrust Global Alpha C Acc GBP,2.915,
03/06/2012,Liontrust Global Alpha C Acc GBP,2.863,
